C1	C2	C3	C4
0	0.54	5e-06	0.0054
0.001	0.54	5e-06	0.0054
0.002	0.54	5e-06	0.0054
0.003	0.54	5e-06	0.0054
0.004	0.54	5e-06	0.0054
0.005	0.54	5e-06	0.0054
0.006	0.54	5e-06	0.0054
0.007	0.54	5e-06	0.0054
0.008	0.54	5e-06	0.0054
0.009	0.58	5e-06	0.0058
0.00925	1.56	5e-06	0.0156
0.0095	13.1	5e-06	0.131
0.00975	206	5e-06	2.06
0.01	571	5e-06	5.71
0.01025	726	5e-06	7.26
0.0105	738	5e-06	7.38
0.01075	740	5e-06	7.4
0.011	741	5e-06	7.41
0.012	741	5e-06	7.41
0.013	741	5e-06	7.41
0.014	741	5e-06	7.41
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
